id	text	label
train_000060	dạy tốt và rất nhiệt tình chỉ dạy hoc sinh.	1
train_000061	nhưng học mới thấy kiến thức thầy dạy rất hay   bám sát thực tế   thầy dạy rất nhiệt tình   vui vẻ. khác với mọi người nói.	1
train_000062	thầy giảng hay. nhưng nên tự tin hơn   nói to hơn để học sinh hiểu bài một cách rõ ràng hơn.	1
train_000063	giáo viên vui tính , hòa đồng , nhiệt tình.	1
train_000064	cố gắng truyền đạt một cách tốt nhất để sinh viên được hiểu.	1
train_000065		1
train_000066	thầy luôn nhiệt tình , có những chia sẻ rất gần gũi với sinh viên.	1
train_000067	thầy dạy tận tụy và tâm huyết.	1
train_000068	nhiệt tình , lên lớp đúng giờ , dạy dễ hiểu.	1
train_000069	bài giảng thú vị.	1
train_000070	giảng viên giảng bài kỹ.	1
train_000071	nhiệt tình , tâm huyết.	1
train_000072	thầy dạy rất nhiệt tình , khi dạy thầy luôn đi tới từng sinh viên để hướng dẫn.	1
train_000073	cách truyền đạt kiến thức đối với em là rất hiệu quả , trao đổi bài với sinh viên , cô rất nhiệt tình.	1
train_000074	kiến thức rộng , kinh nghiệm thực tế nhiều , truyền cảm hứng cho sinh viên.	1
train_000075	giảng bài dễ tiếp thu.	1
train_000076	thầy dạy dễ hiểu , sinh động.	1
train_000077	điều em hài lòng nhất đó là thầy đi rất đúng giờ và không dạy quá nhanh.	1
train_000078	giảng viên có phương pháp giảng dạy hay , cập nhật , phù hợp với sinh viên.	1
train_000079	giảng viên vui tính dễ tương tác với sinh viên.	1
train_000080	thầy giảng dạy rất nhiệt tình.	1
train_000081	giảng viên dạy tận tâm , nhiệt tình , dễ hiểu.	1
train_000082	phòng thực hành tốt.	1
train_000083	giáo viên sử dụng giờ trên lớp hiệu quả.	1
train_000084	giảng viên dạy tốt , nhiệt tình.	1
train_000085	thầy nhiệt tình , tận tâm giúp đỡ sinh viên.	1
train_000086	dễ hiểu đầy đủ.	1
train_000087	nói rõ mục tiêu cũng như các bước làm của lab , khối lượng bài tập vừa phải.	1
train_000088	giảng viên nhiệt tình , phương pháp dạy dễ tiếp cận , dễ hiểu.	1
train_000089	cách giảng bài dễ hiểu , hay.	1
train_000090	thầy giảng ngắn gọn , đầy đủ.	1
train_000091	tuy có phần chém gió kinh điển nhưng kiến thức   hiểu biết rộng   đặc biệt về công nghệ.	1
train_000092	nhiệt tình , truyền cảm hứng.	1
train_000093	thầy dạy rất nhiệt tình , tâm huyết , dễ hiểu.	1
train_000094	cô dạy trên lớp và thực hành tận tâm.	1
train_000095	thầy wzjwz252 giảng bài rất thu hút , kiến thức thầy rất rộng , luôn giải đáp thắc mắc cho sinh viên.	1
train_000096	giảng viên tận tâm , tạo điều kiện cho học sinh làm bài tập.	1
train_000097	thầy rất nhiệt tình. nói rất nhiều đến khản giọng mà sức truyền tải không bằng thầy wzjwz159.	1
train_000098	giảng dạy hay , dễ hiểu , cuốn hút sinh viên.	1
train_000099	giáo viên giảng hay dễ hiểu.	1
train_000100	thầy bằng nhiệt tình tận tụy với sinh viên. trong việc hướng dẫn đồ án.	1
train_000101	giảng viên dạy dễ hiểu nhiệt tình.	1
train_000102	giảng viên nhiệt tình , có chăm lo kiến thức cho học sinh , dạy kiến thức nhanh chóng nắm bắt.	1
train_000103	thầy dạy thú vị nói chung là ok.	1
train_000104	cách giảng dạy có hiệu quả giúp sinh viên hiểu được vấn đề về chiều sâu hơn.	1
train_000105	vui vẻ giảng dạy nhiệt tình.	1
train_000106	đảm bảo giờ lên lớp , tài liệu đầy đủ.	1
train_000107	không ý kiến , phương pháp của thấy rất hài lòng ạ.	1
train_000108	tìm mọi cách hướng dẫn học hiệu quả nhất cho lớp và cung cấp đủ mọi tài liệu cho các bạn tham khảo và làm bàu tập tại lớp cũng như ở nhà.	1
train_000109	giảng viên rất vui vẻ , phương pháp của thầy giúp sinh viên chủ động học tập.	1
train_000110	thầy dạy rất tận tình.	1
train_000111	sự thân thiện và tận tình đối với học viên.	1
train_000112	giảng viên cho bài tập về nhà để không quên bài.	1
train_000113	lên lớp và giảng dạy hiệu quả.	1
train_000114	cô gọi sinh viên nhiều để giải bài.	1
train_000115	thầy giảng dạy , đưa ra các câu hỏi rất sát với đề tài các nhóm , giúp chúng em có nhiều kiến thức hơn về đề tài của các nhóm.	1
train_000116	giảng dạy nhiệt tình , vui vẻ , hài hước tạo cảm giác hứng thú cho sinh viên. trong giờ học.	1
train_000117	giảng dạy kỹ , trình bày logic.	1
train_000118	thầy dạy nhiệt tình , mong được học thầy những kỳ sau colonsmilesmile.	1
train_000119	thầy giảng bài dễ hiểu , vui tính , sẵn sàng giải đáp thắc mắc của sinh viên.	1
train_000120	thầy rất nhiệt tình hướng dẫn. trong khi thực hành.	1
train_000121	cô vui tính , nhiệt tình.	1
train_000122	thầy thiện nhiệt tình.	1
train_000123	bài giảng thực hành rất chi tiết.	1
train_000124	giảng viên thân thiện , hoà đồng , khả năng truyền đạt tốt.	1
train_000125	có lịch học bù đã tự sắp.	1
train_000126	giảng viên nhiệt tình và vui tính.	1
train_000127	cô hướng dẫn rất nhiệt tình.	1
train_000128	cô dạy tận tình , đưa nhiều kiến thức cho sinh viên.	1
train_000129	cô dễ thương , dễ tính , giảng dễ hiểu.	1
train_000130	thầy tận tình , có cách giảng giải sinh động và chủ động. trong việc tìm hiểu sinh viên.	1
train_000131	thầy giảng rất hay.	1
train_000132	phong cách giảng dạy tốt. không buồn ngủ , tiếp thu bài tốt.	1
train_000133	giáo viên rất nhiệt tình và tâm huyết đối với sinh viên.	1
train_000134	trao đổi bài học tại lớp rất sôi động.	1
train_000135	vui tính dạy khá dễ hiểu.	1
train_000136	cô giáo giảng dạy rất nhiệt tình. học sinh chăm chỉ được thưởng xứng dáng , học sinh lười biếng không đi học bị trừng phạt thẳng tay.	1
train_000137	thầy dạy có tâm và rất nhiệt tình.	1
train_000138	tận tâm với sinh viên và tạo mọi cơ hội cho tất cả sinh viên.	1
train_000139	giảng dạy có logic và có sự chuyên tâm của giáo viên nên em không có ý kiến gì thêm.	1
train_000140	nhiệt tình , giảng dạy tốt.	1
train_000141	truyện đạt kiến thức dễ hiểu dễ tiếp thu , gần gũi , nhiệt tình.	1
train_000142	thầy dạy hay , không khí vui vẻ và tận tình giải đáp mọi thắc mắc.	1
train_000143	bài tập và tài liệu hướng dẫn học tập mà thầy cung cấp thực sự rất đầy đủ đối với em.	1
train_000144	thầy dạy rất hay ạ.	1
train_000145	thầy có một nền tảng kiến thức rất phong phú , em được học rất nhiều từ thầy.	1
train_000146	thầy thân thiện , nhiệt tình.	1
train_000147	nhiệt tình trả lời các câu hỏi của sinh viên.	1
train_000148	thầy tận tình , và thân thiện.	1
train_000149	cô dễ thương siêu cute.	1
train_000150	giảng viên hỗ trợ bài giảng , tài liệu tham khảo rất đầy đủ trên moodle.	1
train_000151	cả hai thầy đều rất nhiệt tình.	1
train_000152	giảng viên dạy dễ hiểu.	1
train_000153	thầy vui tính , rất tâm lý sinh viên.	1
train_000154	có trách nhiệm giảng dạy cho các học sinh hiểu về bài học.	1
train_000155	cô cực kỳ nhiệt huyết , cô rất dễ thương colonlove cô yêu học trò của mình , cô cực kỳ khách quan , phong cách làm việc của cô rất giống người nước ngoài , em thích cô.	1
train_000156	thầy chấm và nhận xét đồ án rất chính xác.	1
train_000157	tích cực.	1
train_000158	giảng viên thường xuyên trao đổi tài liệu học tập , giảng viên tích cực.	1
train_000159	sự tận tâm.	1
train_000160	thầy thân thiện , nhiệt tình , giảng dễ hiểu.	1
train_000161	giảng viên rất tận tâm , nhiệt tình , gần gũi sinh viên.	1
train_000162	giảng viên cung cấp khá đầy đủ kiến thức.	1
train_000163	liên hệ sát với thực tế.	1
train_000164	thầy hiền và nhiệt tình với sinh viên.	1
train_000165	giảng viên hướng dẫn rất nhiệt tình và chi tiết.	1
train_000166	thầy tận tâm , nhiệt tình.	1
train_000167	luôn giải đáp mọi thắc mắc của sinh viên.	1
train_000168	thầy là người rất nhiệt tình và quan tâm sinh viên.	1
train_000169	thầy vui tính dạy dễ hiểu.	1
train_000170	cô nhiệt tình , giảng dạy dễ hiểu.	1
train_000171	giảng viên giảng dạy nhiệt tình.	1
train_000172	cho làm bài tập vận dụng kiến thức thường xuyên.	1
train_000173	giảng viên dạy kỹ , dễ hiểu.	1
train_000174	thầy hiền nhiệt tình.	1
train_000175	giảng dạy ngắn gọn , súc tích , đánh vào phần trọng tâm.	1
train_000176	nhiệt tình , vui vẻ , cung cấp kiến thức hay.	1
train_000177	giảng viên nhiệt tình , thân thiện.	1
train_000178	hỗ trợ sinh viên kịp thời các vấn đề vướng mắc. trong môn học.	1
train_000179	dạy rất nhiệt tình , cho bài tập nhiều.	1
train_000180	tiết học thú vị , vui vẻ mà bổ ích.	1
train_000181	gần gũi , tốt bụng.	1
train_000182	hăng say , nhiệt tình.	1
train_000183	sự tận tình của giảng viên.	1
train_000184	thầy cho khá nhiều bài tập và cách giải nhiều bài.	1
train_000185	giáo viên nhiệt tình.	1
train_000186	vủi vẻ nhiệt tình.	1
train_000187	truyền đạt kiến thức dễ hiểu.	1
train_000188	tạo điều kiện cho sinh viên làm việc nhóm.	1
train_000189	giảng viên đầy nhiệt huyết , gần gũi với sinh viên , bài giảng sinh động.	1
train_000190	tất cả đều tốt.	1
train_000191	giảng viên áp dụng nhiều phương thức giảng dạy mới.	1
train_000192	thường xuyên nhắc nhở các sinh viên ít phát biểu , chuyên cần , tích cực.	1
train_000193	em rất thích , em là một đứa không thích học môn xã hội. nhưng học cô em rất thích nghe giảng.	1
train_000194	thầy còn chia sẻ các phương pháp học cho sinh viên.	1
train_000195	thầy giảng hay.	1
train_000196	giảng viên kết hợp giải bài tập để giảng lý thuyết.	1
train_000197	thầy nguyên dạy rất nhiệt tình , tận tâm colonsmile.	1
train_000198	quan tâm tận tình đến từng sinh viên.	1
train_000199	dạy rất chi tiết và đầy đủ những kiến thức quan trọng.	1
train_000200	thầy dạy hay , truyền đạt đủ kiến thức cho sinh viên.	1
train_000201	cô giáo nhiệt tình.	1
train_000202	giảng dạy hay.	1
train_000203	phân phối bài tập hợp lý.	1
train_000204	nhiệt tình , phong cách dạy dễ hiểu.	1
train_000205	thầy tận tâm , có hai tới lớp sinh viên thầy vẫn dạy.	1
train_000206	nội dung mới.	1
train_000207	nhiệt tình và vui vẻ với sinh viên , giảng bài kỹ.	1
train_000208	giảng viên truyền đạt tốt , rất dễ hiểu.	1
train_000209	thầy sử dụng thời gian dạy tốt.	1
train_000210	giảng viên biết cách truyền đạt , giảng rất hay và dễ hiểu.	1
train_000211	tài liệu và giảng viên nhiệt tình.	1
train_000212	thầy giúp sinh viên luyện tập rất nhiệt tình.	1
train_000213	cô giáo rất tận tình và có phương pháp giảng dạy rất tốt đối với sinh viên.	1
train_000214	đan xen những câu chuyện thực tiễn. trong lúc học.	1
train_000215	có nhiều nội dung liên quan tới thực tiễn , có thể áp dụng vào thực tế sau này.	1
train_000216	giảng viên vui vẻ , giảng dạy tận tâm.	1
train_000217	phương pháp giảng dạy ( cụ thể là cách truyền đạt ) của thầy đơn giản , dễ hiểu và hiệu quả.	1
train_000218	có thể nói học nhập môn lập trình gặp được cô là một điều vô cùng may mắn , cảm ơn cô nhiều.	1
train_000219	cách giảng dạy đơn giản , ngắn gọn. nhưng dễ tiếp thu.	1
train_000220	kích thích sự đam mê cho các sinh viên.	1
train_000221	gần gũi , thân thiện với sinh viên , khả năng truyền đạt kiến thức tốt.	1
train_000222	thầy rất hay nói thêm về các tài liệu tiếng anh. các kiến thức mà sách tiếng việt không đề cập. bổ sung nhiều kiến thức hay cho sinh viên.	1
train_000223	luôn quan tâm sinh viên , dạy kiến thức hay , dễ hiểu.	1
train_000224	giải đáp thắc mắc cho các bạn sinh viên.	1
train_000225	phương pháp giảng dạy giúp sinh viên nắm bắt được nhiều lỗi sai. trong bài.	1
train_000226	giảng viên thường xuyên đưa bài tập lên bảng để vừa giảng vừa tạo ra cuộc thảo luận.	1
train_000227	cho cái nhìn về môi trường bên ngoài doanh nghiệp.	1
train_000228	thầy giảng đúng trọng tâm đề dễ hiểu.	1
train_000229	cho bài tập đầy đủ.	1
train_000230	cô cho bài tập về nhà , deadline cuối mỗi chương , bài tập mỗi chương giúp tụi em nắm vững kiến thức của môn học này.	1
train_000231	thầy dạy nhiệt tình dễ hiểu , cho làm nhiều bài tập hay thú vị.	1
train_000232	thầy vui tính , giảng bài hay , đưa nhiều thông tin thực tế vào bài giảng.	1
train_000233	thầy dạy tương đối ổn , có tính thực tế.	1
train_000234	thầy rất vui tính , dạy dễ hiểu.	1
train_000235	yêu nghề , hăng say , tích cực với công việc , nhiệt tình giảng dạy.	1
train_000236	truyền đạt hay giúp học sinh dễ hiểu.	1
train_000237	thầy dạy rất nhiệt tình , luôn cố gắng giảng thật chậm và giảng thật kỹ cho chúng em hiểu bài.	1
train_000238	giảng dễ hiểu , nhiệt tình. trong công tác giảng dạy.	1
train_000239	thời gian vào lớp đúng giờ.	1
train_000240	thầy rất nhiệt tình. trong việc hướng học sinh đến con đường khoa học.	1
train_000241	thầy dạy khá chi tiết và giải bài tập nhiều.	1
train_000242	demo đa dạng , side cập nhật kịp thời , giảng viên hỗ trợ nhanh chóng trên moodle.	1
train_000243	giáo viên giảng dạy lôi cuốn.	1
train_000244	rất nhiệt tình vì học sinh , luôn nghĩ cho học sinh , luôn đến sớm , giảng dạy hiệu quả.	1
train_000245	tận tình , cách dạy thực tế.	1
train_000246	nhiệt tình , giúp sinh viên luyện nói rất nhiều.	1
train_000247	lên lớp đúng giờ , tận tâm với sinh viên.	1
train_000248	lên lớp đúng giờ , truyền đạt kiến thức tốt , dễ hiểu , dễ vận dụng.	1
train_000249	giảng viên nhiệt tình , sửa lỗi cho sinh viên.	1
train_000250	đi đúng giờ.	1
train_000251	giảng viên trẻ nên tạo sự gần gũi với sinh viên.	1
train_000252	giảng rất tận tình , giải đáp các thắc mắc của sinh viên.	1
train_000253	cung cấp tài liệu rất đầy đủ và tận tụy.	1
train_000254	thầy giúp em biết mạch số là gì.	1
train_000255	thầy rất nhiệt tình , tuyệt nhất. trong các thầy dạy em từ khi lên đại học đến giờ.	1
train_000256	dạy nhiệt tình , khách quan.	1
train_000257	giảng viên rất tận tâm nhiệt tình.	1
train_000258	thầy dạy rất nhiệt huyết , phương pháp dạy giúp sinh viên có thể nhớ rõ kiến thức.	1
train_000259	cô nhiệt tình , tận tâm hướng dẫn.	1
train_000260	giảng viên giải đáp các thắc mắc của sinh viên tận tình.	1
train_000261	thoải mái nhiệt tình.	1
train_000262	bài giảng của thầy hay hấp dẫn lắm.	1
train_000263	thầy tâm huyết , giảng dạy nhiệt tình.	1
train_000264	sự thân thiện và tận tình.	1
train_000265	dạy dễ hiểu , sâu rộng.	1
train_000266	giảng dạy tận tình cho các sinh viên.	1
train_000267	luôn giảng quyết các thắc mắc mà sinh viên gửi mail hỏi.	1
train_000268	được học tập theo nhóm.	1
train_000269	dễ tiếp thu kiến thức.	1
train_000270	giảng viên nhiệt tình , tận tâm với sinh viên.	1
train_000271	kỳ trước có học thầy , thầy nhiệt tình. nhưng chắc mới dạy nên chưa có kinh nghiệm truyền tải kiến thức để sinh viên hiểu dễ dàng.	1
train_000272	thầy giảng bài kỹ , cho bài tập hay.	1
train_000273	đồ án mang tính thực tiễn.	1
train_000274	cô rất tận tâm và nhiệt huyết.	1
train_000275	luôn luôn giúp đỡ sinh viên. giảng dạy một cách có hiệu quả không gây nhàm chán cho sinh viên , hỗ trợ sinh viên học tập tốt , quan tâm chỉ dạy cho sinh viên.	1
train_000276	thầy cực kỳ tâm lý , vui tính , dạy nhiệt tình và tận tụy với học trò.	1
train_000277	nhiệt tình chỉ dạy sinh viên trên lớp và trên trang moodle.	1
train_000278	thầy khá tận tâm , vui tính.	1
train_000279	truyên đạt tốt.	1
train_000280	truyền đạt dễ hiểu , ví dụ minh họa thực tế , tạo hứng thú khi tham gia môn học.	1
train_000281	giải bài tập đầy đủ.	1
train_000282	tận tình và giảng chi tiết.	1
train_000283	thầy giảng rất dễ hiểu và dễ tiếp thu bài.	1
train_000284	thầy dạy nhiệt tình , rất hài lòng.	1
train_000285	có liên hệ thực tiễn và lấy ví dụ minh họa.	1
train_000286	thầy dạy tận tâm , giúp đỡ sinh viên hết sức.	1
train_000287	giảng viên có cập nhật thông tin mới nhất về tình hình thực tế.	1
train_000288	dễ hiểu , vui tính.	1
train_000289	giảng dạy nhiệt tình , dễ hiểu.	1
train_000290	thực hành đa dạng , giúp sinh viên hiểu rõ vấn đề.	1
train_000291	tận tình , vui tính colonlove.	1
train_000292	thầy rất nhiệt tình và cố gắng truyền đạt hết mức có thể.	1
train_000293	cô rất có tâm , tạo điều kiện cho sinh viên tham khảo.	1
train_000294	thầy giảng dạy và hướng dẫn nhiệt tình. tận tâm nội dung thầy giảng không chỉ áp dụng cho học tập hiện tại mà còn cho tương lai công việc sau này.	1
train_000295	giảng viên nhiệt tình.	1
train_000296	chúc thầy nhiều sức khỏe.	1
train_000297	giảng viên cung cấp các slide , các module phục vụ việc học tập rất chu đáo.	1
train_000298	cảm thấy hứng thú khi lên lớp.	1
train_000299	đi dạy đúng giờ , chất lượng giảng dạy tốt.	1
train_000300	slide đẹp.	1
train_000301	thầy wzjwz137 dạy rất hay , chi tiết , nhiệt tình và dễ hiểu.	1
train_000302	tài liệu giảng viên cung cấp đầy đủ.	1
train_000303	giáo viên luôn tạo điều kiện cho sinh viên luyện nói tiếng anh tại lớp , giải thích về bài học , ngữ pháp , từ mới vào đầu giờ.	1
train_000304	thầy dạy tận tâm hết mình.	1
train_000305	giáo viên dạy hết sức nhiệt tình , tạo được động lực để học sinh học tập.	1
train_000306	đủ những gì cần học không dài dòng.	1
train_000307	đó là sự nhiệt tình của giảng viên.	1
train_000308	đề mở , giảng viên nhiệt tình.	1
train_000309	phần kiểm tra , thi cử đối với môn này nên đề cao tính tư duy logic của người học cũng như khả năng áp dụng kiến thức đã học vào thực tế thực nghiệm bằng cách chủ yếu đánh giá cao phần thực hành , viết code , làm project.	1
train_000310	cách giảng dạy rất hay , hấp dẫn và dễ hiểu.	1
train_000311	tận tâm , nhiệt tình , sử dụng giờ hiệu quả.	1
train_000312	dạy nhiệt tình , mở rộng kiến thức cho sinh viên , làm bài tập nhiều.	1
train_000313	giáo viên dễ hiểu.	1
train_000314	hoạt động nhóm của cô hiệu quả.	1
train_000315	giảng viên nhiệt tình , dễ hiểu.	1
train_000316	tận tâm , vui tính.	1
train_000317	thầy cung cấp tài liệu đầy đủ.	1
train_000318	cô dạy rất hay và dễ hiểu , đặc biệt rất nhiệt tình. trong giảng dạy và quan tâm tới sinh viên.	1
train_000319	trong các tiết học , cô đều sử dụng tiếng anh để giao tiếp và hướng sinh viên tham gia các câu lạc bộ.	1
train_000320	luôn đảm bảo giờ giấc. trong tiết học.	1
train_000321	giảng viên nhiệt tình , truyền đạt nhiều kiến thức thực tế.	1
train_000322	tận tình dễ hiểu.	1
train_000323	giáo viên dạy tân tâm , nhiệt tình , dễ hiểu.	1
train_000324	thầy wzjwz277 vui tính.	1
train_000325	giảng viên đảm bảo thời gian lên lớp và khối lượng kiến thức. trong mỗi buổi học.	1
train_000326	nhiệt tình , tận tâm , giảng dễ hiểu , nghiêm túc , đúng giờ.	1
train_000327	sữa lỗi cho sinh viên.	1
train_000328	giảng viên nhiệt tình , tận tâm với sinh viên và rất vui tính.	1
train_000329	giáo viên dạy nhiệt tình tâm huyết.	1
train_000330	giáo viên năng nổ nhiệt tình dễ thương cho làm nhiều bài tập vận dụng hay.	1
train_000331	giáo viên vui tính , tích cực.	1
train_000332	nhiệt tình trả lời câu hỏi khi sinh viên phát biểu.	1
train_000333	thầy vui tính và dạy rất nhiệt tình , rất quan tâm tới sinh viên đặc biệt là sinh viên nữ.	1
train_000334	thấy dạy rất tốt.	1
train_000335	thầy hài hước vui vẻ.	1
train_000336	cách giảng bài chi tiết vừa đủ và dễ hiểu.	1
train_000337	cô giảng hay dễ hiểu.	1
train_000338	giảng viên rất nhiệt tình , hướng dẫn chi tiết các kiến thức.	1
train_000339	thầy giáo rất nhiệt tình. trong việc hỗ trợ sinh viên , giúp sinh viên hiểu ra được các khuyết điểm đồ án học tập của các nhóm.	1
train_000340	tận tâm giảng dạy.	1
train_000341	giảng viên giảng dạy nhiệt tình , truyền đạt tốt.	1
train_000342	nội dung có liên hệ nhiều với thực tế.	1
train_000343	giảng viên hay đặt vấn đề để sinh viên suy nghĩ.	1
train_000344	thầy dạy tốt , dễ tiếp thu và có chất lượng tuyệt.	1
train_000345	thầy dạy rất nhiệt huyết , tận tâm.	1
train_000346	thầy truyền đạt kiến thức hiệu quả , sử dụng thời gian học hợp lý và hiệu quả.	1
train_000347	rất hài lòng về giảng viên wzjwz321.	1
train_000348	khả năng truyền đạt kiến thức cao , thường hay gọi lên bảng để kiểm tra năng lực sinh viên.	1
train_000349	lên lớp đúng giờ.	1
train_000350	thầy dạy dễ hiểu , sát với thực tế.	1
train_000351	thầy dạy hay và dễ hiểu.	1
train_000352	thầy cho bài tập luyện tập rất nhiều , thích hợp cho việc ôn tập lại kiến thức.	1
train_000353	giảng viên có nhiều phương pháp giảng hay.	1
train_000354	thầy rất chú tâm.	1
train_000355	giảng bài đầy đủ.	1
train_000356	thầy hơi nghiêm khắc. nhưng dạy dễ hiểu.	1
train_000357	cho làm nhiều bài tập hữu ích , giảng cặn kẽ.	1
train_000358	thầy giáo dạy nhiệt tình giúp tiếp cận kiến thức tốt.	1
train_000359	thầy rất nhiệt tình và tận tâm.	1
train_000360	thân thiện , hòa đồng , giảng dạy có kỹ lưỡng.	1
train_000361	rất hay khuyến khích tinh thần học tập.	1
train_000362	giảng viên rất nhiệt tình giảng dạy , rất sẵn lòng giải đáp thắc mắc của sinh viên.	1
train_000363	rất quan tâm học viên.	1
train_000364	giáo viên luôn chia sẻ những ứng dụng của kiến thức đã học với thực tiễn , chia sẻ khá nhiều kinh nghiệm thực tế vô cùng bổ ích với sinh viên.	1
train_000365	thầy vui tính , cởi mở.	1
train_000366	thầy cung cấp tài liệu học tập rất đầy đủ , chi tiết.	1
train_000367	kỳ sau em có học một môn của chị nữa đó , nhớ giúp em qua môn nha chị.	1
train_000368	nếu cho được điểm 11 thì em cũng cho luôn.	1
train_000369	nhìn chung thầy dạy tốt.	1
train_000370	giảng viên cần cung cấp cho học viên tài liệu lý thuyết rõ ràng.	1
train_000371	giảng viên chấm điểm công bằng , chính xác.	1
train_000372	thân thiện , tận tâm.	1
train_000373	có sự tương tác tốt , rèn được kỹ năng nghe , nói tiếng anh.	1
train_000374	sự nhiệt tình , quan tâm , lắng nghe.	1
train_000375	thầy dạy rất nhiệt tình với sinh viên.	1
train_000376	thầy rất nhiệt tình , hướng dẫn thực hành kỹ càng.	1
train_000377	cung cấp nhiều tài liệu tham khảo.	1
train_000378	cô rất nhiệt tình với lớp.	1
train_000379	cô dung dậy nhiệt tình dễ hiểu.	1
train_000380	hiền , dễ thương , cười tươi.	1
train_000381	tiết dạy sinh động , lôi cuốn.	1
train_000382	thầy dạy nhiệt tình , rất dễ hiểu.	1
